Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b0588	fepC	CDS	761	3.06	4.69e-03	1.50e-03	0.96	3.17
b0721	sdhC	CDS	2137	3.06	1.89e-05	3.04e-06	0.66	4.67
b1537	ydeJ	CDS	59	3.06	9.62e-14	4.87e-15	0.39	7.83
b1706	ydiU	CDS	868	3.06	1.76e-08	1.72e-09	0.51	6.02
b4106	phnC	CDS	1	3.06	2.30e-01	1.45e-01	2.1	1.46
b2703	srlE	CDS	57	3.05	2.05e-02	8.38e-03	1.16	2.64
b1500	safA	CDS	0	3.04	7.39e-01	6.48e-01	6.65	0.46
b1513	lsrA	CDS	19	3.04	1.15e-05	1.78e-06	0.64	4.78
b1954	dsrA	ncRNA	1	3.04	2.90e-01	1.93e-01	2.33	1.3
b4644	ypjI	pseudo	1	3.04	4.24e-01	3.12e-01	3.01	1.01
b2005	cbtA	CDS	1	3.03	4.18e-01	3.05e-01	2.95	1.03
b2222	atoA	CDS	1	3.03	2.99e-01	2.01e-01	2.37	1.28
b2643	yfjX	CDS	1	3.03	5.41e-01	4.25e-01	3.79	0.8
b4102	phnF	CDS	2	3.03	3.70e-01	2.62e-01	2.7	1.12
b4604	yojO	CDS	1	3.03	3.78e-01	2.68e-01	2.74	1.11
b4612	yrhD	CDS	1	3.03	3.75e-01	2.66e-01	2.72	1.11
b4632	ylbI	pseudo	2	3.03	2.21e-01	1.37e-01	2.04	1.49
b1389	paaB	CDS	6	3.02	2.48e-02	1.03e-02	1.18	2.56
b0002	thrA	CDS	4920	3.01	1.18e-30	1.51e-32	0.25	11.88
b2080	yegP	CDS	336	3.01	2.60e-04	5.68e-05	0.75	4.03
b2342	fadI	CDS	209	3.01	4.66e-06	6.80e-07	0.61	4.97
b2535	csiE	CDS	260	3	1.40e-10	1.01e-11	0.44	6.81
b2774	ygcW	CDS	3	3	6.42e-02	3.16e-02	1.39	2.15
b4313	fimE	CDS	43	3	2.70e-05	4.60e-06	0.65	4.58
b0729	sucD	CDS	4110	2.98	1.10e-09	9.10e-11	0.46	6.48
b4188	yjfN	CDS	156	2.98	1.58e-24	3.09e-26	0.28	10.6
b1976	mtfA	CDS	564	2.96	5.88e-60	1.85e-62	0.18	16.68
b2253	arnB	CDS	115	2.96	6.04e-07	7.55e-08	0.55	5.38
b2663	gabP	CDS	128	2.96	1.36e-04	2.72e-05	0.7	4.2
b3567	xylG	CDS	26	2.96	3.27e-07	3.89e-08	0.54	5.5
b4586	ykfM	CDS	6	2.96	8.34e-02	4.33e-02	1.47	2.02
b2137	yohF	CDS	117	2.95	1.74e-04	3.58e-05	0.71	4.13
b4309	nanS	CDS	48	2.94	2.17e-12	1.30e-13	0.4	7.41
b4459	ryjA	ncRNA	5	2.93	2.90e-02	1.24e-02	1.17	2.5
b1480	sra	CDS	2030	2.92	9.91e-03	3.51e-03	1	2.92
b2254	arnC	CDS	72	2.92	1.37e-06	1.82e-07	0.56	5.22
b0724	sdhB	CDS	2706	2.91	1.29e-06	1.70e-07	0.56	5.23
b2838	lysA	CDS	288	2.91	5.30e-09	4.77e-10	0.47	6.23
b4467	glcF	CDS	161	2.91	2.50e-13	1.34e-14	0.38	7.7
b0728	sucC	CDS	4946	2.9	1.41e-09	1.18e-10	0.45	6.44
b1836	yebV	CDS	880	2.9	5.38e-04	1.31e-04	0.76	3.82
b0722	sdhD	CDS	774	2.89	6.65e-06	9.97e-07	0.59	4.89
b3450	ugpC	CDS	262	2.88	1.18e-25	2.03e-27	0.27	10.85
b4411	ecnB	CDS	608	2.88	1.87e-21	4.92e-23	0.29	9.88
b2775	yqcE	CDS	6	2.87	1.50e-02	5.77e-03	1.04	2.76
b3603	lldP	CDS	735	2.86	5.93e-04	1.47e-04	0.75	3.8
b4673	ymjD	CDS	4	2.86	1.61e-02	6.27e-03	1.05	2.73
b3225	nanA	CDS	233	2.85	5.49e-04	1.34e-04	0.75	3.82
b4227	ytfQ	CDS	171	2.84	1.88e-16	6.86e-18	0.33	8.62
b1043	csgC	CDS	7	2.83	5.12e-02	2.43e-02	1.26	2.25
b3127	garP	CDS	12	2.83	1.93e-03	5.52e-04	0.82	3.45
b4565	sgcB	CDS	9	2.83	4.67e-04	1.10e-04	0.73	3.87
b1397	paaJ	CDS	116	2.82	1.18e-17	3.88e-19	0.32	8.94
b3828	metR	CDS	209	2.8	1.71e-07	1.91e-08	0.5	5.62
b1783	yeaG	CDS	2410	2.79	3.14e-03	9.67e-04	0.85	3.3
b2091	gatD	CDS	5600	2.79	2.27e-04	4.82e-05	0.69	4.06
b2165	psuG	CDS	46	2.78	2.59e-02	1.09e-02	1.09	2.55
b2934	cmtB	CDS	4	2.77	7.13e-02	3.58e-02	1.32	2.1
b4627	ykfL	pseudo	3	2.76	1.59e-01	9.31e-02	1.64	1.68
b1154	ycfK	CDS	8	2.75	5.23e-02	2.49e-02	1.23	2.24
b1454	yncG	CDS	85	2.75	3.76e-04	8.68e-05	0.7	3.92
b3682	glvB	CDS	5	2.75	1.89e-01	1.14e-01	1.74	1.58
b4035	malK	CDS	1622	2.75	4.06e-02	1.84e-02	1.16	2.36
b2888	uacT	CDS	5	2.74	2.92e-02	1.25e-02	1.1	2.5
b3542	dppC	CDS	291	2.74	1.20e-06	1.58e-07	0.52	5.24
b1514	lsrC	CDS	25	2.71	6.15e-07	7.71e-08	0.5	5.37
b1955	yedP	CDS	206	2.71	6.10e-05	1.13e-05	0.62	4.39
b4428	hokB	CDS	126	2.7	2.09e-04	4.41e-05	0.66	4.08
b4541	yehK	CDS	3	2.7	1.19e-01	6.55e-02	1.46	1.84
b4568	ytjA	CDS	979	2.7	5.11e-03	1.66e-03	0.86	3.14
b0284	paoC	CDS	96	2.69	2.69e-08	2.71e-09	0.45	5.95
b2172	yeiQ	CDS	262	2.69	1.06e-03	2.83e-04	0.74	3.63
b4293	fecI	CDS	1580	2.69	1.22e-04	2.40e-05	0.64	4.22
b0789	clsB	CDS	196	2.67	2.78e-03	8.42e-04	0.8	3.34
b1897	otsB	CDS	458	2.67	1.66e-02	6.48e-03	0.98	2.72
b3563	yiaB	CDS	4	2.67	7.49e-02	3.80e-02	1.29	2.08
b3769	ilvM	CDS	32	2.67	1.05e-05	1.62e-06	0.56	4.8
b0581	ybdK	CDS	314	2.66	8.99e-04	2.35e-04	0.72	3.68
b2392	mntH	CDS	1405	2.66	2.31e-08	2.30e-09	0.45	5.97
b1784	yeaH	CDS	549	2.65	9.11e-03	3.20e-03	0.9	2.95
b2661	gabD	CDS	513	2.65	2.35e-04	5.02e-05	0.65	4.05
b2662	gabT	CDS	582	2.65	8.16e-04	2.11e-04	0.72	3.71
b3939	metB	CDS	651	2.65	7.48e-13	4.15e-14	0.35	7.56
b1406	pdxI	CDS	230	2.64	1.33e-10	9.54e-12	0.39	6.81
b4267	idnD	CDS	31	2.64	1.00e-04	1.94e-05	0.62	4.27
b0726	sucA	CDS	7977	2.62	4.72e-09	4.23e-10	0.42	6.25
b1011	rutB	CDS	4	2.62	2.24e-01	1.40e-01	1.77	1.48
b1536	ydeI	CDS	87	2.62	1.42e-04	2.86e-05	0.63	4.18
b1668	ydhS	CDS	389	2.62	9.72e-04	2.57e-04	0.72	3.66
b4669	ilvX	CDS	105	2.62	3.32e-05	5.72e-06	0.58	4.54
b4733	ylcJ	CDS	2	2.62	2.66e-01	1.74e-01	1.93	1.36
b4743	ynaL	CDS	39	2.62	3.05e-02	1.32e-02	1.06	2.48
b4518	ymdF	CDS	86	2.61	4.82e-03	1.55e-03	0.82	3.16
b4597	rydC	ncRNA	2	2.61	1.77e-01	1.06e-01	1.61	1.62
b2704	srlB	CDS	32	2.6	3.28e-02	1.44e-02	1.06	2.45
b3592	yibF	CDS	512	2.6	5.78e-25	1.09e-26	0.24	10.69
b3070	nfeF	CDS	628	2.59	3.12e-11	2.06e-12	0.37	7.03
b4189	bsmA	CDS	253	2.59	6.18e-09	5.65e-10	0.42	6.2
b1518	lsrG	CDS	39	2.58	2.87e-07	3.36e-08	0.47	5.52
b0315	pdeL	CDS	259	2.57	2.91e-21	7.77e-23	0.26	9.84
b0788	ybhN	CDS	108	2.57	6.18e-03	2.05e-03	0.83	3.08
b2021	hisC	CDS	909	2.56	3.02e-07	3.54e-08	0.46	5.51
b1195	ymgE	CDS	60	2.55	9.80e-04	2.59e-04	0.7	3.65
b1449	curA	CDS	354	2.55	3.67e-05	6.37e-06	0.56	4.51
b2019	hisG	CDS	911	2.55	1.02e-10	7.17e-12	0.37	6.85
b0821	ybiU	CDS	235	2.54	7.85e-10	6.39e-11	0.39	6.53
b0301	rclC	CDS	30	2.53	2.39e-07	2.76e-08	0.46	5.56
b2599	pheA	CDS	1006	2.53	1.25e-17	4.16e-19	0.28	8.93
b0003	thrB	CDS	1726	2.52	1.22e-25	2.14e-27	0.23	10.84
b4620	yjbT	CDS	9	2.52	2.57e-03	7.67e-04	0.75	3.36
b3370	frlA	CDS	5	2.51	1.05e-01	5.68e-02	1.32	1.91
b0563	tfaX	CDS	4	2.5	1.36e-01	7.74e-02	1.42	1.77
b1420	mokB	CDS	89	2.49	1.22e-04	2.41e-05	0.59	4.22
b1732	katE	CDS	1698	2.49	3.31e-02	1.46e-02	1.02	2.44
b1163	bluF	CDS	728	2.48	1.16e-02	4.24e-03	0.87	2.86
b1197	treA	CDS	490	2.48	1.03e-10	7.25e-12	0.36	6.85
b1469	narU	CDS	45	2.48	2.04e-02	8.34e-03	0.94	2.64
b2672	ygaM	CDS	1416	2.48	9.10e-03	3.19e-03	0.84	2.95
b0063	araB	CDS	30	2.47	3.73e-07	4.47e-08	0.45	5.47
b1970	yedX	CDS	46	2.47	7.62e-09	7.07e-10	0.4	6.16
b2869	ygeV	CDS	257	2.47	1.98e-04	4.13e-05	0.6	4.1
b3540	dppF	CDS	432	2.47	6.02e-04	1.49e-04	0.65	3.79
b0064	araC	CDS	308	2.46	3.06e-11	2.01e-12	0.35	7.03
b0335	prpE	CDS	60	2.46	1.36e-12	8.03e-14	0.33	7.47
b0871	poxB	CDS	1216	2.46	1.65e-02	6.44e-03	0.9	2.72
b1967	hchA	CDS	783	2.46	8.28e-07	1.06e-07	0.46	5.32
b2096	gatY	CDS	14050	2.46	2.26e-14	1.06e-15	0.31	8.02
b3236	mdh	CDS	8706	2.46	1.81e-53	7.72e-56	0.16	15.74
b4432	ryeA	ncRNA	217	2.46	5.10e-12	3.12e-13	0.34	7.29
b0270	yagG	CDS	46	2.45	3.14e-05	5.39e-06	0.54	4.55
b0808	ybiO	CDS	203	2.45	7.58e-05	1.43e-05	0.56	4.34
