Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b0871	poxB	CDS	1216	6.3	6.07e-11	5.31e-12	0.91	6.9
b1257	yciE	CDS	210	6.3	5.91e-11	5.16e-12	0.91	6.9
b2266	elaB	CDS	5959	6.29	1.68e-14	9.08e-16	0.78	8.04
b2424	cysU	CDS	1782	6.27	1.59e-08	2.07e-09	1.05	5.99
b2464	talA	CDS	1085	6.25	2.26e-12	1.61e-13	0.85	7.38
b2979	glcD	CDS	132	6.25	3.49e-25	5.80e-27	0.58	10.75
b0805	fiu	CDS	5700	6.23	8.05e-07	1.45e-07	1.18	5.26
b2465	tktB	CDS	2456	6.23	5.74e-14	3.40e-15	0.79	7.88
b0596	entA	CDS	2228	6.22	1.80e-06	3.51e-07	1.22	5.09
b1836	yebV	CDS	880	6.22	1.09e-14	5.79e-16	0.77	8.09
b3941	metF	CDS	631	6.18	8.90e-31	9.78e-33	0.52	11.92
b1004	wrbA	CDS	2002	6.17	3.07e-12	2.27e-13	0.84	7.33
b1102	fhuE	CDS	1683	6.17	8.31e-09	1.04e-09	1.01	6.1
b1668	ydhS	CDS	389	6.16	3.51e-15	1.72e-16	0.75	8.24
b3523	yhjE	CDS	759	6.16	3.03e-111	2.72e-114	0.27	22.72
b0804	ybiX	CDS	732	6.15	3.73e-08	5.20e-09	1.05	5.84
b2080	yegP	CDS	336	6.15	3.50e-14	2.01e-15	0.77	7.94
b0597	entH	CDS	1308	6.14	8.99e-07	1.64e-07	1.17	5.24
b0329	yahO	CDS	1173	6.13	4.46e-12	3.41e-13	0.84	7.28
b1341	dgcM	CDS	664	6.13	1.25e-17	4.35e-19	0.69	8.93
b3511	hdeD	CDS	3777	6.13	1.81e-09	2.01e-10	0.96	6.36
b0585	fes	CDS	1583	6.12	1.22e-10	1.13e-11	0.9	6.79
b3555	yiaG	CDS	619	6.11	3.08e-14	1.73e-15	0.77	7.96
b2763	cysI	CDS	6769	6.09	7.42e-09	9.18e-10	0.99	6.12
b0581	ybdK	CDS	314	6.08	1.68e-14	9.13e-16	0.76	8.04
b1536	ydeI	CDS	87	6.07	1.99e-14	1.09e-15	0.76	8.02
b1178	pliG	CDS	464	6.06	7.77e-21	1.99e-22	0.62	9.74
b3426	glpD	CDS	4013	6.05	2.34e-17	8.44e-19	0.68	8.85
b1482	osmC	CDS	1788	6.02	1.37e-19	3.88e-21	0.64	9.44
b2663	gabP	CDS	128	6.02	1.69e-13	1.07e-14	0.78	7.73
b4755	yqhI	CDS	15	6.01	3.86e-08	5.41e-09	1.03	5.83
b2422	cysA	CDS	3833	5.98	1.05e-08	1.34e-09	0.99	6.06
b2674	nrdI	CDS	594	5.97	1.38e-13	8.58e-15	0.77	7.76
b3268	yhdW	pseudo	144	5.96	4.96e-16	2.08e-17	0.7	8.49
b3507	dctR	CDS	183	5.96	5.54e-06	1.18e-06	1.23	4.86
b2242	glpB	CDS	135	5.95	2.31e-28	2.90e-30	0.52	11.43
b3513	mdtE	CDS	603	5.94	9.90e-08	1.49e-08	1.05	5.66
b1440	ydcS	CDS	413	5.9	1.03e-22	2.16e-24	0.58	10.19
b2676	nrdF	CDS	687	5.9	3.41e-12	2.54e-13	0.81	7.32
b1039	csgE	CDS	73	5.89	3.89e-18	1.29e-19	0.65	9.06
b0753	ybgS	CDS	341	5.88	7.28e-11	6.49e-12	0.86	6.87
b1682	sufC	CDS	522	5.87	2.53e-11	2.11e-12	0.84	7.03
b2675	nrdE	CDS	1744	5.86	1.80e-13	1.15e-14	0.76	7.72
b2751	cysN	CDS	4625	5.84	4.92e-09	5.94e-10	0.94	6.19
b4244	pyrI	CDS	20285	5.82	4.40e-08	6.23e-09	1	5.81
b1681	sufD	CDS	918	5.77	2.07e-12	1.46e-13	0.78	7.39
b1684	sufA	CDS	254	5.76	5.04e-11	4.36e-12	0.83	6.93
b0790	ybhP	CDS	152	5.71	4.28e-10	4.17e-11	0.87	6.6
b1487	ddpA	CDS	117	5.7	1.11e-15	5.00e-17	0.68	8.39
b4658	yghX	pseudo	169	5.7	6.16e-14	3.68e-15	0.72	7.87
b1051	msyB	CDS	946	5.69	1.07e-17	3.71e-19	0.64	8.95
b4015	aceA	CDS	13287	5.68	1.11e-16	4.37e-18	0.66	8.67
b0583	entD	CDS	674	5.67	6.52e-06	1.42e-06	1.18	4.82
b0707	ybgA	CDS	253	5.67	2.24e-08	2.98e-09	0.96	5.93
b2659	csiD	CDS	173	5.67	4.66e-27	6.69e-29	0.51	11.16
b3927	glpF	CDS	1725	5.64	6.85e-16	3.01e-17	0.67	8.45
b1897	otsB	CDS	458	5.62	1.10e-07	1.67e-08	1	5.64
b2662	gabT	CDS	582	5.61	2.36e-13	1.51e-14	0.73	7.69
b1010	rutC	CDS	4	5.6	1.76e-03	6.63e-04	1.64	3.4
b1680	sufS	CDS	807	5.6	4.15e-12	3.15e-13	0.77	7.29
b0856	potH	CDS	110	5.57	1.08e-21	2.52e-23	0.56	9.95
b0854	potF	CDS	516	5.55	2.32e-19	6.60e-21	0.59	9.38
b2764	cysJ	CDS	6828	5.54	3.87e-07	6.52e-08	1.03	5.4
b1490	dosC	CDS	216	5.5	8.93e-12	6.99e-13	0.77	7.18
b1857	znuA	CDS	7560	5.5	3.47e-110	3.90e-113	0.24	22.6
b4245	pyrB	CDS	29556	5.5	6.38e-07	1.13e-07	1.04	5.31
b0384	psiF	CDS	162	5.49	6.15e-16	2.61e-17	0.65	8.46
b1679	sufE	CDS	282	5.49	1.19e-10	1.10e-11	0.81	6.79
b4757	ysdD	CDS	6	5.48	2.24e-03	8.76e-04	1.65	3.33
b3926	glpK	CDS	4505	5.47	2.51e-33	2.42e-35	0.44	12.41
b4568	ytjA	CDS	979	5.45	2.84e-09	3.26e-10	0.87	6.29
b2750	cysC	CDS	1200	5.44	1.01e-06	1.87e-07	1.04	5.21
b3460	livJ	CDS	2328	5.43	8.71e-23	1.82e-24	0.53	10.21
b4149	blc	CDS	312	5.43	8.43e-15	4.35e-16	0.67	8.13
b2661	gabD	CDS	513	5.42	1.06e-14	5.57e-16	0.67	8.1
b1683	sufB	CDS	1124	5.37	2.59e-12	1.88e-13	0.73	7.36
b2130	yehY	CDS	247	5.37	2.99e-11	2.50e-12	0.77	7
b2673	nrdH	CDS	278	5.37	6.60e-16	2.87e-17	0.64	8.45
b4069	acs	CDS	1082	5.34	1.51e-21	3.65e-23	0.54	9.91
b1896	otsA	CDS	1066	5.33	1.00e-10	9.15e-12	0.78	6.82
b0788	ybhN	CDS	108	5.31	1.79e-08	2.35e-09	0.89	5.97
b1038	csgF	CDS	55	5.28	9.66e-19	2.97e-20	0.57	9.22
b1455	yncH	CDS	4	5.28	9.70e-03	4.41e-03	1.85	2.85
b1442	ydcU	CDS	118	5.27	2.48e-25	3.89e-27	0.49	10.79
b2135	yohC	CDS	133	5.27	6.70e-14	4.01e-15	0.67	7.85
b2128	yehW	CDS	187	5.24	5.04e-11	4.34e-12	0.76	6.93
b0485	glsA	CDS	383	5.21	1.55e-07	2.40e-08	0.93	5.58
b3447	ggt	CDS	883	5.21	3.42e-16	1.42e-17	0.61	8.53
b0855	potG	CDS	231	5.2	2.51e-18	8.23e-20	0.57	9.11
b2660	lhgO	CDS	199	5.16	7.44e-15	3.80e-16	0.63	8.14
b1724	ydiZ	CDS	397	5.15	7.38e-11	6.61e-12	0.75	6.87
b1040	csgD	CDS	230	5.13	2.74e-17	1.00e-18	0.58	8.83
b4016	aceK	CDS	3043	5.1	2.62e-12	1.92e-13	0.69	7.35
b0778	bioD	CDS	538	5.09	5.31e-09	6.43e-10	0.82	6.18
b3454	livF	CDS	336	5.08	8.62e-58	3.29e-60	0.31	16.37
b4468	glcE	CDS	76	5.07	8.18e-41	5.69e-43	0.37	13.74
b1489	dosP	CDS	269	5.06	1.08e-12	7.43e-14	0.68	7.48
b1953	yodD	CDS	137	5.05	4.83e-07	8.33e-08	0.94	5.36
b1481	bdm	CDS	15	5.04	2.78e-03	1.11e-03	1.55	3.26
b4187	aidB	CDS	704	5.04	6.61e-16	2.89e-17	0.6	8.45
b0803	ybiI	CDS	279	5.03	7.96e-06	1.76e-06	1.05	4.78
b2762	cysH	CDS	2768	5.03	4.66e-07	8.02e-08	0.94	5.37
b0325	yahK	CDS	1264	5.02	1.60e-13	1.01e-14	0.65	7.74
b1488	ddpX	CDS	42	5.02	3.28e-07	5.44e-08	0.92	5.44
b4068	yjcH	CDS	94	5	7.85e-39	5.63e-41	0.37	13.41
b3455	livG	CDS	326	4.98	7.93e-109	1.07e-111	0.22	22.46
b2131	osmF	CDS	428	4.96	2.09e-17	7.49e-19	0.56	8.87
b1478	adhP	CDS	1418	4.94	1.12e-14	5.94e-16	0.61	8.09
b1486	ddpB	CDS	44	4.93	2.40e-12	1.73e-13	0.67	7.37
b3774	ilvC	CDS	2723	4.9	4.86e-73	1.20e-75	0.27	18.4
b1195	ymgE	CDS	60	4.89	2.70e-09	3.09e-10	0.78	6.29
b4430	rydB	ncRNA	336	4.88	7.36e-07	1.32e-07	0.92	5.28
b0837	yliI	CDS	193	4.86	2.57e-13	1.66e-14	0.63	7.67
b1537	ydeJ	CDS	59	4.86	4.56e-23	9.01e-25	0.47	10.28
b4524	ymjB	pseudo	2	4.86	9.55e-03	4.32e-03	1.7	2.85
b2021	hisC	CDS	909	4.84	5.18e-23	1.04e-24	0.47	10.26
b2243	glpC	CDS	105	4.83	3.16e-31	3.40e-33	0.4	12
b2056	wcaD	CDS	12	4.81	4.82e-03	2.03e-03	1.56	3.09
b2013	yeeE	CDS	3441	4.8	6.48e-06	1.41e-06	0.99	4.82
b2086	yegS	CDS	298	4.8	4.15e-12	3.16e-13	0.66	7.29
b3830	ysgA	CDS	627	4.77	9.70e-12	7.62e-13	0.67	7.17
b1565	ydfV	CDS	4	4.76	2.32e-02	1.17e-02	1.89	2.52
b0776	bioF	CDS	1020	4.75	5.60e-10	5.60e-11	0.72	6.55
b1702	ppsA	CDS	3342	4.75	4.71e-09	5.64e-10	0.77	6.2
b0331	prpB	CDS	22	4.72	1.01e-08	1.28e-09	0.78	6.07
b2665	kbp	CDS	1610	4.68	6.79e-18	2.32e-19	0.52	9
b0365	tauA	CDS	36	4.67	1.26e-06	2.36e-07	0.9	5.17
b0789	clsB	CDS	196	4.66	7.87e-08	1.16e-08	0.82	5.71
b4376	osmY	CDS	1897	4.66	1.38e-07	2.13e-08	0.83	5.6
b0775	bioB	CDS	1074	4.65	1.31e-07	2.02e-08	0.83	5.61
b2362	yfdS	CDS	2	4.65	3.57e-02	1.89e-02	1.98	2.35
b4684	yqfG	CDS	2	4.65	1.01e-01	6.16e-02	2.49	1.87
b0860	artJ	CDS	563	4.64	6.78e-25	1.17e-26	0.43	10.69
b1423	ydcJ	CDS	192	4.64	3.90e-13	2.57e-14	0.61	7.62
b3456	livM	CDS	557	4.64	5.28e-135	2.37e-138	0.19	25.04
b0078	ilvH	CDS	345	4.61	3.87e-15	1.91e-16	0.56	8.23
b0273	argF	CDS	529	4.61	1.20e-24	2.18e-26	0.43	10.63
b3958	argC	CDS	286	4.61	1.20e-24	2.15e-26	0.43	10.63
b1974	yodB	CDS	88	4.57	1.97e-12	1.39e-13	0.62	7.4
b1849	purT	CDS	3800	4.55	3.32e-08	4.54e-09	0.78	5.86
b0857	potI	CDS	147	4.54	2.32e-22	5.10e-24	0.45	10.11
b1927	amyA	CDS	1101	4.54	1.94e-18	6.24e-20	0.5	9.14
b1351	racC	CDS	5	4.52	1.60e-02	7.69e-03	1.7	2.67
b0077	ilvI	CDS	1033	4.48	7.18e-19	2.16e-20	0.48	9.25
b1725	yniA	CDS	1163	4.48	9.58e-11	8.70e-12	0.66	6.83
b2254	arnC	CDS	72	4.47	3.90e-12	2.94e-13	0.61	7.3
b2459	eutT	CDS	8	4.47	4.95e-03	2.09e-03	1.45	3.08
b0812	dps	CDS	7425	4.45	8.39e-11	7.56e-12	0.65	6.85
b2137	yohF	CDS	117	4.45	1.10e-08	1.40e-09	0.74	6.06
b3458	livK	CDS	674	4.45	1.03e-71	2.78e-74	0.24	18.23
b0806	mcbA	CDS	56	4.44	3.59e-06	7.42e-07	0.9	4.95
b1454	yncG	CDS	85	4.43	1.10e-08	1.41e-09	0.73	6.05
b4067	actP	CDS	442	4.42	1.98e-20	5.24e-22	0.46	9.64
b4106	phnC	CDS	1	4.42	6.28e-02	3.58e-02	2.1	2.1
b3457	livH	CDS	345	4.41	2.67e-87	4.80e-90	0.22	20.12
b4683	yqeL	CDS	2	4.41	1.12e-01	6.86e-02	2.42	1.82
b4721	ytiD	CDS	59	4.41	2.10e-02	1.04e-02	1.72	2.56
b3213	gltD	CDS	4608	4.4	6.35e-09	7.79e-10	0.72	6.15
b4013	metA	CDS	258	4.4	2.41e-26	3.57e-28	0.4	11.01
b1450	mcbR	CDS	116	4.38	9.92e-08	1.50e-08	0.77	5.66
b2020	hisD	CDS	1145	4.38	2.53e-25	4.03e-27	0.41	10.79
b1678	ldtE	CDS	607	4.35	2.10e-12	1.49e-13	0.59	7.39
b4014	aceB	CDS	10655	4.35	9.29e-13	6.32e-14	0.58	7.5
b2818	argA	CDS	455	4.34	1.84e-43	1.16e-45	0.31	14.18
b0880	cspD	CDS	2109	4.33	1.42e-50	6.38e-53	0.28	15.31
b2414	cysK	CDS	24698	4.33	2.45e-06	4.91e-07	0.86	5.03
b1462	yddH	CDS	44	4.32	1.63e-06	3.14e-07	0.85	5.11
b0592	fepB	CDS	946	4.3	2.79e-09	3.19e-10	0.68	6.29
b1428	ydcK	CDS	166	4.28	2.02e-12	1.43e-13	0.58	7.39
b2853	ygeI	CDS	3	4.28	8.21e-02	4.84e-02	2.17	1.97
b1449	curA	CDS	354	4.27	1.51e-12	1.06e-13	0.57	7.43
b1744	astE	CDS	54	4.27	6.51e-05	1.76e-05	0.99	4.29
b2127	mlrA	CDS	186	4.27	3.18e-16	1.31e-17	0.5	8.54
b1739	osmE	CDS	3037	4.25	3.66e-12	2.74e-13	0.58	7.31
b1795	yeaQ	CDS	1911	4.25	8.62e-07	1.57e-07	0.81	5.24
b2129	yehX	CDS	176	4.24	8.90e-08	1.33e-08	0.75	5.68
b1265	trpL	CDS	43	4.23	8.41e-05	2.33e-05	1	4.23
b1729	tcyP	CDS	12917	4.22	1.43e-06	2.72e-07	0.82	5.14
b1452	yncE	CDS	9117	4.18	1.14e-05	2.63e-06	0.89	4.7
b1037	csgG	CDS	203	4.16	2.34e-36	2.10e-38	0.32	12.96
b1519	tam	CDS	271	4.15	1.32e-13	8.19e-15	0.53	7.76
b2543	yphA	CDS	293	4.15	3.51e-19	1.02e-20	0.45	9.33
b1967	hchA	CDS	783	4.14	2.49e-17	9.06e-19	0.47	8.85
b0330	prpR	CDS	59	4.13	5.17e-22	1.17e-23	0.41	10.03
b2012	yeeD	CDS	2345	4.12	2.30e-05	5.65e-06	0.91	4.54
b0588	fepC	CDS	761	4.11	7.85e-05	2.16e-05	0.97	4.25
b1182	hlyE	CDS	31	4.1	2.57e-07	4.20e-08	0.75	5.48
b1920	tcyJ	CDS	6535	4.1	4.06e-09	4.80e-10	0.66	6.23
b2838	lysA	CDS	288	4.1	2.64e-16	1.07e-17	0.48	8.57
b3239	yhcO	CDS	107	4.1	8.64e-08	1.29e-08	0.72	5.69
b0774	bioA	CDS	1273	4.07	1.67e-09	1.83e-10	0.64	6.37
b2913	serA	CDS	6068	4.07	7.33e-10	7.56e-11	0.63	6.51
b4408	csrB	ncRNA	42925	4.06	7.66e-30	9.11e-32	0.35	11.73
b1020	phoH	CDS	316	4.05	9.50e-09	1.20e-09	0.67	6.08
b1283	osmB	CDS	408	4.05	3.95e-11	3.37e-12	0.58	6.96
b0304	rclA	CDS	105	4.04	1.18e-06	2.20e-07	0.78	5.18
b1685	ydiH	CDS	544	4.03	6.45e-06	1.40e-06	0.83	4.83
b3491	yhiM	CDS	364	4.03	4.95e-06	1.04e-06	0.83	4.88
b0777	bioC	CDS	531	4.02	2.02e-07	3.23e-08	0.73	5.53
b1467	narY	CDS	71	4.01	3.26e-06	6.65e-07	0.81	4.97
b3543	dppB	CDS	303	4	2.49e-12	1.80e-13	0.54	7.36
b0587	fepE	CDS	50	3.98	2.18e-03	8.46e-04	1.19	3.34
b1301	puuB	CDS	46	3.98	1.24e-08	1.59e-09	0.66	6.03
b4199	yjfY	CDS	30	3.98	6.66e-06	1.45e-06	0.83	4.82
b4367	fhuF	CDS	7691	3.98	2.72e-06	5.48e-07	0.79	5.01
b3003	yghA	CDS	119	3.97	7.84e-09	9.74e-10	0.65	6.11
b1730	ydjO	CDS	11	3.96	1.41e-03	5.10e-04	1.14	3.48
b2054	wcaF	CDS	3	3.96	6.47e-02	3.70e-02	1.9	2.09
b3654	xanP	CDS	4534	3.96	8.90e-08	1.33e-08	0.7	5.68
b4583	phnE	pseudo	3	3.95	3.87e-02	2.07e-02	1.71	2.31
b4269	ahr	CDS	716	3.92	7.96e-07	1.44e-07	0.75	5.26
b3453	ugpB	CDS	278	3.89	2.39e-46	1.34e-48	0.27	14.65
b2023	hisH	CDS	581	3.88	3.28e-24	6.25e-26	0.37	10.53
b0591	entS	CDS	1349	3.86	9.09e-06	2.04e-06	0.81	4.75
b0334	prpD	CDS	21	3.85	3.36e-06	6.89e-07	0.78	4.96
b1469	narU	CDS	45	3.85	2.62e-04	8.01e-05	0.98	3.94
b2019	hisG	CDS	911	3.85	6.56e-23	1.34e-24	0.38	10.24
b2112	yehE	CDS	183	3.84	9.95e-14	6.12e-15	0.49	7.8
b2499	purM	CDS	9197	3.82	4.37e-06	9.15e-07	0.78	4.91
b3544	dppA	CDS	3846	3.82	1.58e-20	4.14e-22	0.39	9.67
b1955	yedP	CDS	206	3.81	9.92e-09	1.25e-09	0.63	6.07
b0535	fimZ	CDS	10	3.79	8.26e-03	3.66e-03	1.31	2.91
b1483	ddpF	CDS	48	3.79	1.42e-06	2.70e-07	0.74	5.14
b3524	yhjG	CDS	428	3.79	1.73e-17	6.13e-19	0.43	8.89
b2025	hisF	CDS	823	3.78	3.37e-21	8.53e-23	0.38	9.83
b1264	trpE	CDS	6021	3.76	2.96e-05	7.46e-06	0.84	4.48
b2347	yfdC	CDS	127	3.76	2.79e-09	3.20e-10	0.6	6.29
b2854	pbl	pseudo	1	3.76	9.63e-02	5.81e-02	1.99	1.9
b4565	sgcB	CDS	9	3.76	8.88e-05	2.48e-05	0.89	4.22
b0801	hcxB	CDS	984	3.75	4.58e-09	5.45e-10	0.6	6.21
b1194	ycgR	CDS	17	3.75	2.75e-04	8.46e-05	0.96	3.93
b1263	trpD	CDS	4009	3.75	2.93e-04	9.07e-05	0.96	3.91
b0598	cstA	CDS	3238	3.73	7.14e-06	1.57e-06	0.78	4.8
b2024	hisA	CDS	734	3.73	4.92e-29	5.96e-31	0.32	11.57
b3452	ugpA	CDS	55	3.71	7.41e-13	4.99e-14	0.49	7.53
b0750	nadA	CDS	2984	3.7	2.43e-05	6.01e-06	0.82	4.53
b1406	pdxI	CDS	230	3.7	8.38e-19	2.54e-20	0.4	9.24
b3061	ttdA	CDS	10	3.69	3.33e-02	1.75e-02	1.55	2.38
b3212	gltB	CDS	12604	3.69	3.55e-08	4.90e-09	0.63	5.85
b2975	glcA	CDS	138	3.68	6.60e-16	2.87e-17	0.44	8.45
b1197	treA	CDS	490	3.67	7.71e-22	1.78e-23	0.37	9.98
b1338	abgA	CDS	18	3.67	1.94e-06	3.82e-07	0.72	5.08
b3451	ugpE	CDS	60	3.67	4.96e-16	2.09e-17	0.43	8.49
b0751	pnuC	CDS	2116	3.65	8.24e-06	1.83e-06	0.77	4.77
b1761	gdhA	CDS	2842	3.65	9.01e-28	1.19e-29	0.32	11.31
b3540	dppF	CDS	432	3.65	1.81e-07	2.84e-08	0.66	5.55
b2989	yghU	CDS	964	3.64	2.19e-20	5.90e-22	0.38	9.63
b3024	ygiW	CDS	1913	3.63	1.66e-07	2.59e-08	0.65	5.57
b0865	ybjP	CDS	691	3.62	1.56e-13	9.71e-15	0.47	7.74
b2022	hisB	CDS	1141	3.62	1.94e-25	3.00e-27	0.33	10.81
b3336	bfr	CDS	1922	3.61	2.17e-07	3.49e-08	0.65	5.51
b0486	ybaT	CDS	509	3.6	9.50e-05	2.67e-05	0.86	4.2
b2476	purC	CDS	9360	3.59	3.47e-05	8.87e-06	0.81	4.44
b3514	mdtF	CDS	1926	3.59	4.43e-05	1.15e-05	0.82	4.39
b1042	csgA	CDS	51	3.58	4.05e-09	4.78e-10	0.57	6.23
b4467	glcF	CDS	161	3.57	1.04e-18	3.23e-20	0.39	9.21
b1376	uspF	CDS	409	3.56	2.52e-26	3.78e-28	0.32	11
b2977	glcG	CDS	168	3.56	1.22e-24	2.25e-26	0.34	10.63
b0453	ybaY	CDS	1307	3.55	5.88e-07	1.03e-07	0.67	5.32
b1847	yebF	CDS	2369	3.55	2.61e-12	1.91e-13	0.48	7.36
b0643	ybeL	CDS	786	3.54	2.93e-15	1.42e-16	0.43	8.26
b1346	xisR	CDS	2	3.54	1.02e-01	6.18e-02	1.89	1.87
b1352	kilR	CDS	1	3.54	4.99e-01	4.05e-01	4.26	0.83
b1470	yddJ	pseudo	1	3.54	3.77e-01	2.90e-01	3.35	1.06
b2004	cbeA	CDS	2	3.54	2.20e-01	1.51e-01	2.47	1.44
b2976	glcB	CDS	885	3.54	5.17e-46	3.01e-48	0.24	14.6
b3361	fic	CDS	376	3.54	2.04e-08	2.68e-09	0.59	5.95
b4292	fecR	CDS	1454	3.54	2.31e-06	4.59e-07	0.7	5.04
b4636	ybfI	pseudo	1	3.54	5.06e-01	4.12e-01	4.32	0.82
b4720	ytiC	CDS	9	3.54	9.39e-02	5.64e-02	1.85	1.91
b1011	rutB	CDS	4	3.53	1.28e-01	8.01e-02	2.02	1.75
b1747	astA	CDS	224	3.52	3.41e-04	1.08e-04	0.91	3.87
b2557	purL	CDS	21256	3.51	8.45e-06	1.89e-06	0.74	4.77
b3516	gadX	CDS	1846	3.51	1.13e-05	2.60e-06	0.75	4.7
b0937	ssuE	CDS	10	3.47	3.55e-03	1.45e-03	1.09	3.18
b3172	argG	CDS	1409	3.47	1.06e-20	2.77e-22	0.36	9.71
b1495	yddB	CDS	186	3.46	2.18e-09	2.46e-10	0.55	6.33
b4459	ryjA	ncRNA	5	3.45	1.79e-02	8.72e-03	1.32	2.62
b0830	gsiB	CDS	1476	3.44	1.92e-06	3.77e-07	0.68	5.08
b1468	narZ	CDS	169	3.44	1.37e-06	2.58e-07	0.67	5.15
b2310	argT	CDS	1230	3.43	1.28e-12	8.89e-14	0.46	7.46
b1579	intQ	pseudo	27	3.42	6.37e-07	1.12e-07	0.65	5.31
b1566	flxA	CDS	34	3.41	1.29e-07	1.99e-08	0.61	5.61
b3542	dppC	CDS	291	3.41	1.01e-09	1.07e-10	0.53	6.46
b3959	argB	CDS	241	3.4	1.08e-22	2.32e-24	0.33	10.18
b4293	fecI	CDS	1580	3.4	5.68e-07	9.93e-08	0.64	5.33
b1856	mepM	CDS	3459	3.39	3.29e-21	8.27e-23	0.34	9.83
b1302	puuE	CDS	41	3.37	1.20e-09	1.29e-10	0.52	6.43
b1466	narW	CDS	30	3.37	3.52e-04	1.11e-04	0.87	3.86
b1217	chaB	CDS	98	3.36	3.44e-13	2.26e-14	0.44	7.64
