Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b0583	entD	CDS	674	4.05	2.94e-03	5.79e-04	1.18	3.44
b0597	entH	CDS	1308	4.04	2.92e-03	5.72e-04	1.17	3.44
b0975	hyaD	CDS	373	4.04	6.78e-05	6.23e-06	0.89	4.52
b0596	entA	CDS	2228	4.03	4.50e-03	9.63e-04	1.22	3.3
b2724	hycB	CDS	200	4.03	2.01e-02	5.92e-03	1.46	2.75
b1194	ycgR	CDS	17	4	2.31e-04	2.75e-05	0.95	4.19
b1480	sra	CDS	2030	4	5.58e-04	7.89e-05	1.01	3.95
b2266	elaB	CDS	5959	4	5.70e-06	3.33e-07	0.78	5.1
b0896	dmsC	CDS	1103	3.99	5.07e-10	6.48e-12	0.58	6.87
b4064	ghxP	CDS	4800	3.99	1.37e-07	4.41e-09	0.68	5.87
b1341	dgcM	CDS	664	3.97	2.18e-07	7.83e-09	0.69	5.77
b1556	essQ	CDS	17	3.91	3.95e-02	1.35e-02	1.58	2.47
b1256	ompW	CDS	1496	3.9	1.49e-14	7.10e-17	0.47	8.35
b2365	dsdX	CDS	268	3.9	1.84e-08	3.92e-10	0.62	6.26
b2414	cysK	CDS	24698	3.88	6.83e-05	6.30e-06	0.86	4.52
b2313	cvpA	CDS	5221	3.87	6.40e-10	8.47e-12	0.57	6.83
b2004	cbeA	CDS	2	3.86	2.16e-01	1.17e-01	2.47	1.57
b4592	appX	CDS	178	3.86	3.45e-04	4.49e-05	0.95	4.08
b0871	poxB	CDS	1216	3.85	2.14e-04	2.50e-05	0.91	4.21
b1082	flgK	CDS	246	3.85	5.37e-15	2.17e-17	0.45	8.48
b2465	tktB	CDS	2456	3.85	1.59e-05	1.15e-06	0.79	4.86
b3991	thiG	CDS	1918	3.85	1.43e-04	1.49e-05	0.89	4.33
b1745	astB	CDS	191	3.81	3.83e-07	1.52e-08	0.67	5.66
b4722	idlP	CDS	114	3.81	4.73e-04	6.52e-05	0.95	3.99
b1920	tcyJ	CDS	6535	3.77	2.83e-07	1.06e-08	0.66	5.72
b3447	ggt	CDS	883	3.76	3.21e-08	7.78e-10	0.61	6.15
b0753	ybgS	CDS	341	3.75	1.21e-04	1.21e-05	0.86	4.37
b0535	fimZ	CDS	10	3.74	1.54e-02	4.29e-03	1.31	2.86
b1545	pinQ	CDS	84	3.74	8.65e-04	1.33e-04	0.98	3.82
b4407	thiS	CDS	474	3.74	3.77e-04	4.99e-05	0.92	4.06
b4524	ymjB	pseudo	2	3.74	8.30e-02	3.41e-02	1.76	2.12
b2141	yohJ	CDS	399	3.73	3.65e-06	1.96e-07	0.72	5.2
b4106	phnC	CDS	1	3.73	1.63e-01	8.17e-02	2.14	1.74
b4326	iraD	CDS	146	3.73	4.47e-06	2.55e-07	0.72	5.15
b2957	ansB	CDS	1832	3.67	3.00e-24	2.02e-27	0.34	10.85
b3268	yhdW	pseudo	144	3.67	3.86e-06	2.13e-07	0.71	5.19
b1374	pinR	CDS	91	3.65	1.06e-03	1.71e-04	0.97	3.76
b4608	ohsC	ncRNA	2	3.64	3.09e-01	1.88e-01	2.76	1.32
b0895	dmsB	CDS	662	3.63	1.39e-07	4.57e-09	0.62	5.86
b4149	blc	CDS	312	3.62	1.36e-06	6.65e-08	0.67	5.4
b1746	astD	CDS	252	3.6	9.19e-06	5.73e-07	0.72	5
b3993	thiE	CDS	1754	3.6	2.90e-04	3.64e-05	0.87	4.13
b0547	ybcN	CDS	2	3.57	2.29e-01	1.27e-01	2.34	1.53
b1668	ydhS	CDS	389	3.57	2.44e-05	1.88e-06	0.75	4.77
b0523	purE	CDS	2192	3.56	3.76e-07	1.48e-08	0.63	5.66
b1443	ydcV	CDS	118	3.55	2.29e-04	2.71e-05	0.85	4.2
b3555	yiaG	CDS	619	3.55	4.59e-05	3.91e-06	0.77	4.62
b0522	purK	CDS	5330	3.54	1.10e-06	5.16e-08	0.65	5.45
b0894	dmsA	CDS	1742	3.54	1.45e-06	7.16e-08	0.66	5.39
b1481	bdm	CDS	15	3.54	6.18e-02	2.36e-02	1.56	2.26
b4568	ytjA	CDS	979	3.54	3.52e-04	4.59e-05	0.87	4.08
b4603	rseX	ncRNA	0	3.54	7.18e-01	5.94e-01	6.64	0.53
b1897	otsB	CDS	458	3.53	2.14e-03	3.96e-04	1	3.54
b0790	ybhP	CDS	152	3.52	3.88e-04	5.16e-05	0.87	4.05
b1188	ycgB	CDS	693	3.52	5.14e-05	4.50e-06	0.77	4.59
b1932	yedL	CDS	156	3.52	2.11e-05	1.59e-06	0.73	4.8
b4691	sroH	ncRNA	429	3.52	6.37e-04	9.23e-05	0.9	3.91
b0587	fepE	CDS	50	3.51	1.25e-02	3.31e-03	1.19	2.94
b0837	yliI	CDS	193	3.51	7.79e-07	3.42e-08	0.64	5.52
b3336	bfr	CDS	1922	3.49	1.86e-06	9.57e-08	0.65	5.33
b0832	gsiD	CDS	456	3.48	1.52e-04	1.61e-05	0.81	4.31
b0945	pyrD	CDS	6566	3.48	1.73e-06	8.63e-08	0.65	5.35
b1051	msyB	CDS	946	3.48	9.95e-07	4.55e-08	0.64	5.47
b2902	ygfF	CDS	358	3.47	9.12e-07	4.11e-08	0.63	5.49
b4654	yjdQ	pseudo	6	3.47	9.73e-02	4.15e-02	1.7	2.04
b3992	thiF	CDS	1727	3.46	9.13e-04	1.43e-04	0.91	3.8
b1487	ddpA	CDS	117	3.44	7.84e-06	4.87e-07	0.68	5.03
b3994	thiC	CDS	5274	3.44	4.68e-04	6.44e-05	0.86	4
b1062	pyrC	CDS	5543	3.42	1.20e-05	7.97e-07	0.69	4.94
b2497	uraA	CDS	9138	3.42	9.08e-08	2.75e-09	0.57	5.95
b1102	fhuE	CDS	1683	3.41	3.69e-03	7.55e-04	1.01	3.37
b2500	purN	CDS	4193	3.41	2.43e-08	5.44e-10	0.55	6.21
b1078	flgG	CDS	400	3.4	1.37e-16	3.38e-19	0.38	8.96
b2853	ygeI	CDS	3	3.39	2.30e-01	1.27e-01	2.22	1.53
b1012	rutA	CDS	8	3.38	7.45e-02	2.98e-02	1.56	2.17
b0384	psiF	CDS	162	3.37	4.33e-06	2.44e-07	0.65	5.16
b0451	amtB	CDS	959	3.36	3.11e-07	1.18e-08	0.59	5.7
b0778	bioD	CDS	538	3.36	3.55e-04	4.64e-05	0.83	4.07
b1163	bluF	CDS	728	3.35	7.42e-04	1.11e-04	0.87	3.87
b2361	yfdR	CDS	1	3.32	5.91e-01	4.55e-01	4.44	0.75
b4073	nrfD	CDS	149	3.32	2.06e-08	4.52e-10	0.53	6.23
b1182	hlyE	CDS	31	3.31	1.18e-04	1.18e-05	0.76	4.38
b2128	yehW	CDS	187	3.31	1.27e-04	1.28e-05	0.76	4.36
b2221	atoD	CDS	2	3.31	4.17e-01	2.84e-01	3.09	1.07
b0613	citG	CDS	2	3.3	1.78e-01	9.09e-02	1.95	1.69
b0803	ybiI	CDS	279	3.3	7.46e-03	1.77e-03	1.05	3.13
b1079	flgH	CDS	175	3.3	4.21e-21	7.56e-24	0.33	10.07
b1081	flgJ	CDS	147	3.3	8.45e-12	7.59e-14	0.44	7.48
b4668	ibsB	CDS	3	3.3	1.12e-01	4.96e-02	1.68	1.96
b4116	adiY	CDS	136	3.29	2.13e-03	3.95e-04	0.93	3.54
b0585	fes	CDS	1583	3.28	1.59e-03	2.76e-04	0.9	3.64
b1488	ddpX	CDS	42	3.27	2.37e-03	4.45e-04	0.93	3.51
b0706	ybfD	CDS	18	3.26	1.54e-03	2.66e-04	0.9	3.65
b1795	yeaQ	CDS	1911	3.26	4.37e-04	5.92e-05	0.81	4.02
b1470	yddJ	pseudo	1	3.25	4.74e-01	3.36e-01	3.38	0.96
b4703	pmrR	CDS	659	3.25	1.33e-06	6.47e-08	0.6	5.41
b2142	yohK	CDS	390	3.24	1.12e-06	5.27e-08	0.59	5.44
b2663	gabP	CDS	128	3.24	2.88e-04	3.60e-05	0.78	4.13
b0617	citD	CDS	2	3.23	4.62e-01	3.24e-01	3.28	0.99
b0980	appA	CDS	696	3.23	2.48e-04	3.00e-05	0.77	4.17
b3213	gltD	CDS	4608	3.23	7.14e-05	6.65e-06	0.72	4.5
b4075	nrfF	CDS	31	3.23	5.19e-03	1.15e-03	0.99	3.25
b4269	ahr	CDS	716	3.23	1.46e-04	1.53e-05	0.75	4.32
b1110	ycfJ	CDS	283	3.21	2.31e-15	7.76e-18	0.37	8.6
b3514	mdtF	CDS	1926	3.21	6.09e-04	8.78e-05	0.82	3.92
b1730	ydjO	CDS	11	3.2	1.95e-02	5.74e-03	1.16	2.76
b1685	ydiH	CDS	544	3.18	8.90e-04	1.39e-04	0.84	3.81
b2130	yehY	CDS	247	3.18	2.89e-04	3.64e-05	0.77	4.13
b1555	ydfR	CDS	18	3.15	1.46e-02	4.01e-03	1.1	2.88
b1486	ddpB	CDS	44	3.13	4.97e-05	4.33e-06	0.68	4.59
b1896	otsA	CDS	1066	3.13	4.56e-04	6.24e-05	0.78	4
b3945	gldA	CDS	939	3.12	2.01e-14	1.03e-16	0.38	8.3
b4123	dcuB	CDS	390	3.12	5.34e-05	4.79e-06	0.68	4.57
b0615	citF	CDS	19	3.11	4.82e-04	6.68e-05	0.78	3.99
b1554	rrrQ	CDS	14	3.11	3.50e-02	1.17e-02	1.24	2.52
b1566	flxA	CDS	34	3.11	6.50e-06	3.88e-07	0.61	5.07
b2720	hycF	CDS	140	3.11	3.50e-03	7.10e-04	0.92	3.39
b0774	bioA	CDS	1273	3.09	1.76e-05	1.28e-06	0.64	4.84
b4748	ynfT	CDS	278	3.09	1.17e-02	3.06e-03	1.04	2.96
b2662	gabT	CDS	582	3.08	2.14e-04	2.49e-05	0.73	4.22
b0775	bioB	CDS	1074	3.07	1.30e-03	2.15e-04	0.83	3.7
b4533	ynfO	CDS	4	3.06	1.90e-01	9.99e-02	1.86	1.65
b0365	tauA	CDS	36	3.05	4.60e-03	9.87e-04	0.93	3.29
b0501	ybbD	pseudo	11	3.05	1.15e-02	3.00e-03	1.03	2.97
b1678	ldtE	CDS	607	3.04	4.38e-06	2.49e-07	0.59	5.16
b4727	yacM	CDS	1	3.04	6.40e-01	5.06e-01	4.57	0.67
b0581	ybdK	CDS	314	3.03	4.88e-04	6.78e-05	0.76	3.98
b0588	fepC	CDS	761	3.03	7.33e-03	1.74e-03	0.97	3.13
b0776	bioF	CDS	1020	3.03	2.45e-04	2.95e-05	0.73	4.18
b1080	flgI	CDS	214	3.03	7.97e-28	1.79e-31	0.26	11.67
b1300	puuC	CDS	92	3.02	5.91e-07	2.50e-08	0.54	5.57
b1836	yebV	CDS	880	3.02	6.07e-04	8.74e-05	0.77	3.92
b0325	yahK	CDS	1264	3	4.49e-05	3.82e-06	0.65	4.62
b0788	ybhN	CDS	108	3	3.87e-03	8.01e-04	0.89	3.35
b1301	puuB	CDS	46	3	7.65e-05	7.21e-06	0.67	4.49
b0953	rmf	CDS	4730	2.99	5.52e-03	1.24e-03	0.93	3.23
b3024	ygiW	CDS	1913	2.99	5.14e-05	4.51e-06	0.65	4.59
b2103	thiD	CDS	948	2.95	4.19e-05	3.51e-06	0.64	4.64
b1579	intQ	pseudo	27	2.94	7.67e-05	7.25e-06	0.66	4.49
b1927	amyA	CDS	1101	2.94	1.11e-07	3.54e-09	0.5	5.9
b4330	yjiH	CDS	165	2.94	4.92e-03	1.07e-03	0.9	3.27
b0252	yafZ	CDS	12	2.93	4.35e-03	9.19e-04	0.88	3.31
b1724	ydiZ	CDS	397	2.93	6.59e-04	9.61e-05	0.75	3.9
b0591	entS	CDS	1349	2.92	1.84e-03	3.30e-04	0.81	3.59
b4153	frdB	CDS	2520	2.92	3.95e-12	3.37e-14	0.39	7.58
b4514	ybfQ	CDS	10	2.92	1.72e-02	4.92e-03	1.04	2.81
b0991	ymcE	CDS	552	2.91	3.50e-02	1.17e-02	1.15	2.52
b1553	rzpQ	CDS	7	2.91	6.10e-02	2.32e-02	1.28	2.27
b1886	tar	CDS	61	2.91	4.43e-08	1.17e-09	0.48	6.08
b4679	yohP	CDS	19	2.91	7.20e-02	2.84e-02	1.33	2.19
b4367	fhuF	CDS	7691	2.9	1.54e-03	2.65e-04	0.79	3.65
b0674	asnB	CDS	4609	2.89	4.40e-09	7.79e-11	0.44	6.5
b1077	flgF	CDS	390	2.89	5.11e-18	1.15e-20	0.31	9.32
b4329	yjiG	CDS	155	2.89	7.60e-04	1.14e-04	0.75	3.86
b1925	fliS	CDS	30	2.88	2.77e-04	3.41e-05	0.69	4.14
b3516	gadX	CDS	1846	2.88	7.76e-04	1.17e-04	0.75	3.85
b2421	cysM	CDS	2938	2.87	1.52e-05	1.09e-06	0.59	4.88
b4744	ynaM	CDS	351	2.87	1.46e-02	4.01e-03	1	2.88
b1011	rutB	CDS	4	2.84	2.81e-01	1.66e-01	2.05	1.39
b1536	ydeI	CDS	87	2.84	1.36e-03	2.29e-04	0.77	3.69
b4154	frdA	CDS	7138	2.84	6.09e-10	7.92e-12	0.41	6.84
b0831	gsiC	CDS	646	2.83	2.19e-04	2.56e-05	0.67	4.21
b1357	ydaS	CDS	11	2.83	2.52e-02	7.81e-03	1.06	2.66
b3270	yhdY	CDS	24	2.83	2.65e-03	5.11e-04	0.81	3.47
b0329	yahO	CDS	1173	2.81	4.09e-03	8.54e-04	0.84	3.33
b1885	tap	CDS	50	2.81	9.94e-06	6.29e-07	0.56	4.98
b4376	osmY	CDS	1897	2.81	3.66e-03	7.49e-04	0.83	3.37
b1506	yneL	pseudo	6	2.8	4.37e-02	1.54e-02	1.16	2.42
b1679	sufE	CDS	282	2.8	2.84e-03	5.54e-04	0.81	3.45
b2728	hypC	CDS	161	2.8	1.18e-07	3.80e-09	0.48	5.89
b4723	ymcF	CDS	4221	2.77	3.75e-02	1.27e-02	1.11	2.49
b2661	gabD	CDS	513	2.76	3.10e-04	3.94e-05	0.67	4.11
b3744	asnA	CDS	9079	2.76	2.39e-07	8.75e-09	0.48	5.75
b1157	stfE	pseudo	6	2.75	1.93e-01	1.02e-01	1.68	1.63
b2456	eutN	CDS	2	2.75	2.15e-01	1.17e-01	1.75	1.57
b4122	fumB	CDS	808	2.75	1.03e-03	1.65e-04	0.73	3.77
b4152	frdC	CDS	1628	2.75	1.78e-09	2.55e-11	0.41	6.67
b1083	flgL	CDS	239	2.73	3.92e-15	1.41e-17	0.32	8.53
b2086	yegS	CDS	298	2.72	3.01e-04	3.82e-05	0.66	4.12
b4151	frdD	CDS	2051	2.72	5.81e-09	1.04e-10	0.42	6.46
b4666	ibsE	CDS	0	2.72	7.86e-01	6.83e-01	6.67	0.41
b1444	patD	CDS	513	2.7	1.62e-06	8.07e-08	0.5	5.37
b2903	gcvP	CDS	7778	2.7	4.63e-06	2.65e-07	0.52	5.15
b4677	yobI	CDS	2	2.7	3.76e-01	2.46e-01	2.32	1.16
b2129	yehX	CDS	176	2.69	1.80e-03	3.21e-04	0.75	3.6
b0830	gsiB	CDS	1476	2.68	5.60e-04	7.93e-05	0.68	3.95
b2362	yfdS	CDS	2	2.68	3.30e-01	2.06e-01	2.12	1.27
b4315	fimI	CDS	1223	2.68	6.18e-08	1.76e-09	0.44	6.02
b1702	ppsA	CDS	3342	2.67	2.61e-03	5.03e-04	0.77	3.48
b1739	osmE	CDS	3037	2.67	5.23e-05	4.67e-06	0.58	4.58
b4683	yqeL	CDS	2	2.66	4.29e-01	2.94e-01	2.54	1.05
b3917	sbp	CDS	770	2.65	1.07e-05	6.85e-07	0.53	4.97
b4439	micF	ncRNA	2	2.65	5.16e-01	3.77e-01	2.99	0.88
b4604	yojO	CDS	1	2.65	4.79e-01	3.41e-01	2.78	0.95
b0458	ylaC	CDS	3641	2.63	8.48e-07	3.81e-08	0.48	5.5
b0589	fepG	CDS	557	2.63	1.07e-02	2.74e-03	0.88	3
b1076	flgE	CDS	832	2.63	4.57e-12	4.00e-14	0.35	7.56
b2643	yfjX	CDS	1	2.63	6.27e-01	4.91e-01	3.83	0.69
b2131	osmF	CDS	428	2.62	3.93e-05	3.22e-06	0.56	4.66
b0812	dps	CDS	7425	2.61	4.55e-04	6.19e-05	0.65	4.01
b0904	focA	CDS	5184	2.61	1.99e-04	2.27e-05	0.61	4.24
b4115	adiC	CDS	188	2.61	3.27e-03	6.52e-04	0.77	3.41
b3427	yzgL	CDS	90	2.6	2.88e-04	3.61e-05	0.63	4.13
b4074	nrfE	CDS	93	2.6	7.18e-05	6.70e-06	0.58	4.5
b1020	phoH	CDS	316	2.59	7.15e-04	1.06e-04	0.67	3.88
b1195	ymgE	CDS	60	2.58	4.82e-03	1.05e-03	0.79	3.28
b4750	ynfS	CDS	304	2.57	2.10e-02	6.32e-03	0.94	2.73
b1366	ydaY	CDS	25	2.56	3.45e-04	4.48e-05	0.63	4.08
b1950	fliR	CDS	45	2.56	2.00e-08	4.35e-10	0.41	6.24
b3073	patA	CDS	1388	2.56	9.38e-03	2.35e-03	0.84	3.04
b3408	feoA	CDS	2360	2.55	3.35e-03	6.70e-04	0.75	3.4
b2481	hyfA	CDS	7	2.54	6.06e-02	2.30e-02	1.12	2.27
b3714	adeP	CDS	7025	2.54	2.92e-08	6.82e-10	0.41	6.17
b4493	gapC	pseudo	5756	2.53	2.14e-04	2.49e-05	0.6	4.22
b0564	appY	CDS	576	2.51	3.24e-04	4.14e-05	0.61	4.1
b0590	fepD	CDS	590	2.5	9.43e-03	2.37e-03	0.82	3.04
b1680	sufS	CDS	807	2.5	5.26e-03	1.17e-03	0.77	3.25
b1302	puuE	CDS	41	2.49	3.71e-05	3.01e-06	0.53	4.67
b2046	wzxC	CDS	20	2.49	7.57e-03	1.80e-03	0.8	3.12
b2110	yehC	CDS	10	2.49	1.08e-01	4.75e-02	1.26	1.98
b2272	yfbM	CDS	26	2.49	2.11e-03	3.88e-04	0.7	3.55
b0621	dcuC	CDS	550	2.48	1.11e-06	5.19e-08	0.46	5.44
b0989	cspH	CDS	93	2.46	7.64e-02	3.08e-02	1.14	2.16
b1452	yncE	CDS	9117	2.46	1.95e-02	5.72e-03	0.89	2.76
b1483	ddpF	CDS	48	2.46	4.41e-03	9.36e-04	0.74	3.31
